Row,Rank,film,film1,Studio,Total Gross,Theaters,Opening weekend,Theaters for opening,Wide,Close,tweetSearch,Genre,Actors,Rated,imdbRating
1,4,The Secret Life of Pets,TheSecretLifeofPets,Uni.,"$368,384,330 ","4,381","$104,352,905 ","4,370",7/8/2016,29-Dec,#TheSecretLifeofPets,"Animation, Adventure, Comedy, Family","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",PG,6.5
2,2,Finding Dory,FindingDory,BV,"$486,295,561 ","4,305","$135,060,273 ","4,305",6/17/2016,8-Dec,#FindingDory,"Animation, Adventure, Comedy, Family","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",PG,7.3
3,8,Batman v Superman: Dawn of Justice,BatmanvSuperman,WB,"$330,360,194 ","4,256","$166,007,347 ","4,242",3/25/2016,16-Jun,#BatmanvSuperman,"Action, Adventure, Fantasy, Sci-Fi","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",PG-13,6.5
4,9,Suicide Squad,SuicideSquad,WB,"$325,100,054 ","4,255","$133,682,248 ","4,255",8/5/2016,10-Nov,#SuicideSquad,"Action, Adventure, Fantasy, Sci-Fi","Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",PG-13,6.1
5,3,Captain America: Civil War,CaptainAmerica,BV,"$408,084,349 ","4,226","$179,139,142 ","4,226",5/6/2016,22-Sep,#CaptainAmerica,"Action, Adventure, Sci-Fi","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",PG-13,7.8
6,1,Rogue One: A Star Wars Story,RogueOne,BV,"$532,177,324 ","4,157","$155,081,681 ","4,157",12/16/2016,4-May,#RogueOne,"Action, Adventure, Sci-Fi","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",PG-13,7.8
7,17,X-Men: Apocalypse,X-Men,Fox,"$155,442,489 ","4,153","$65,769,562 ","4,150",5/27/2016,28-Jul,#X-Men,"Action, Adventure, Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",PG-13,7
8,5,The Jungle Book,TheJungleBook,BV,"$364,001,123 ","4,144","$103,261,464 ","4,028",4/15/2016,29-Sep,#TheJungleBook,"Adventure, Drama, Family, Fantasy","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",PG,7.4
9,12,Fantastic Beasts and Where To Find Them,FantasticBeastsandWhereToFindThem,WB,"$234,037,575 ","4,144","$74,403,387 ","4,144",11/18/2016,30-Mar,#FantasticBeastsandWhereToFindThem,"Adventure, Family, Fantasy","Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck",PG-13,7.3
10,27,Independence Day: Resurgence,IndependenceDay,Fox,"$103,144,286 ","4,130","$41,039,944 ","4,130",6/24/2016,15-Sep,#IndependenceDay,"Action, Adventure, Sci-Fi","Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",PG-13,5.2
11,37,Teenage Mutant Ninja Turtles: Out of the Shadows,TeenageMutantNinjaTurtles,Par.,"$82,051,601 ","4,071","$35,316,382 ","4,071",6/3/2016,8-Sep,#TeenageMutantNinjaTurtles,"Action, Adventure, Comedy, Sci-Fi","Megan Fox, Will Arnett, Laura Linney, Stephen Amell",PG-13,6
12,18,Trolls,Trolls,Fox,"$153,707,064 ","4,066","$46,581,142 ","4,060",11/4/2016,30-Mar,#Trolls,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",PG,6.5
13,15,Jason Bourne,JasonBourne,Uni.,"$162,434,410 ","4,039","$59,215,365 ","4,026",7/29/2016,22-Dec,#JasonBourne,"Action, Thriller","Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",PG-13,6.6
14,10,Sing,Sing,Uni.,"$270,395,425 ","4,029","$35,258,145 ","4,022",12/21/2016,11-May,#Sing,"Animation, Comedy, Family, Musical","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",PG,7.1
15,49,Ice Age: Collision Course,IceAge,Fox,"$64,063,008 ","3,997","$21,373,064 ","3,992",7/22/2016,3-Nov,#IceAge,"Animation, Adventure, Comedy, Family, Fantasy, Romance, Sci-Fi","Stephanie Beatriz, Robert Cardone, Neil deGrasse Tyson, Adam Devine",PG,5.7
16,20,Kung Fu Panda 3,KungFuPanda3,Fox,"$143,528,619 ","3,987","$41,282,042 ","3,955",1/29/2016,21-Jul,#KungFuPanda3,"Animation, Action, Adventure, Comedy, Family, Fantasy","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",PG,7.1
17,21,Ghostbusters ,Ghostbusters,Sony,"$128,350,574 ","3,963","$46,018,755 ","3,963",7/15/2016,10-Nov,#Ghostbusters,"Action, Comedy, Fantasy, Sci-Fi","Zach Woods, Kristen Wiig, Ed Begley Jr., Charles Dance",PG-13,5.2
18,7,Zootopia,Zootopia,BV,"$341,268,248 ","3,959","$75,063,401 ","3,827",3/4/2016,4-Aug,#Zootopia,"Animation, Adventure, Comedy, Crime, Family, Mystery","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",PG,8
19,24,Sully,Sully,WB,"$125,070,033 ","3,955","$35,028,301 ","3,525",9/9/2016,26-Jan,#Sully,"Biography, Drama","Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington",PG-13,7.5
